Date_Time_UTC,0.00001,0.0001,0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000,0.00001_BTC_total,0.0001_BTC_total,0.001_BTC_total,0.01_BTC_total,0.1_BTC_total,1_BTC_total,10_BTC_total,100_BTC_total,1000_BTC_total,10000_BTC_total,100000_BTC_total,1000000_BTC_total,USD_0.00001_BTC,USD_0.0001_BTC,USD_0.001_BTC,USD_0.01_BTC,USD_0.1_BTC,USD_1_BTC,USD_10_BTC,USD_100_BTC,USD_1000_BTC,USD_10000_BTC,USD_100000_BTC,USD_1000000_BTC
2021-05-11 00:00:00 UTC+0000,,,,,,,,,,,,,,,226748,,,752146,1701818,4254152,3953978,5126008,2234305,455390,,,,,,,,,,,,
2021-05-12 00:00:00 UTC+0000,,,,,,,,,,,,,,,226673,,,752061,1698474,4252853,3943466,5124619,2206130,501390,,,,,,,,,,,,
2021-05-13 00:00:00 UTC+0000,,,,,,,,,,,,,,,226440,,,752436,1697834,4254920,3951458,5095570,2226654,501390,,,,,,,,,,,,
2021-05-14 00:00:00 UTC+0000,,,,,,,,,,,,,,,226680,,,752563,1698237,4254502,3953986,5093500,2226638,501390,,,,,,,,,,,,
2021-05-15 00:00:00 UTC+0000,,,,,,,,,,,,,,,226389,,,752152,1696811,4254773,3947364,5095706,2233730,501390,,,,,,,,,,,,
2021-05-16 00:00:00 UTC+0000,,,,,,,,,,,,,,,226018,,,752247,1697758,4255733,3947599,5092326,2236025,501390,,,,,,,,,,,,
2021-05-17 00:00:00 UTC+0000,,,,,,,,,,,,,,,226359,,,752321,1695938,4257373,3953854,5070903,2251776,501390,,,,,,,,,,,,
2021-05-18 00:00:00 UTC+0000,,,,,,,,,,,,,,,226974,,,753197,1696230,4258219,3960724,5080103,2133063,602034,,,,,,,,,,,,
2021-05-19 00:00:00 UTC+0000,,,,,,,,,,,,,,,227945,,,753346,1697599,4257840,3967163,5069976,2127596,609837,,,,,,,,,,,,
2021-05-20 00:00:00 UTC+0000,,,,,,,,,,,,,,,228724,,,752523,1694019,4248823,3953875,5082133,2114111,637837,,,,,,,,,,,,
2021-05-21 00:00:00 UTC+0000,,,,,,,,,,,,,,,229518,,,752693,1696007,4247691,3937832,5084895,2124829,639217,,,,,,,,,,,,
2021-05-22 00:00:00 UTC+0000,,,,,,,,,,,,,,,229237,,,752877,1693942,4246697,3928202,5095391,2125817,641243,,,,,,,,,,,,
2021-05-23 00:00:00 UTC+0000,,,,,,,,,,,,,,,228584,,,752463,1688016,4239712,3929969,5098151,2146044,631243,,,,,,,,,,,,
2021-05-24 00:00:00 UTC+0000,,,,,,,,,,,,,,,228661,,,752860,1688982,4240707,3934392,5106692,2141413,621243,,,,,,,,,,,,
2021-05-25 00:00:00 UTC+0000,,,,,,,,,,,,,,,228901,,,754155,1689217,4240319,3931200,5134771,2114925,622231,,,,,,,,,,,,
2021-05-26 00:00:00 UTC+0000,,,,,,,,,,,,,,,229082,,,754283,1688852,4241565,3937147,5111056,2132298,622231,,,,,,,,,,,,
2021-05-27 00:00:00 UTC+0000,,,,,,,,,,,,,,,229207,,,754817,1690539,4245741,3933588,5109237,2131732,622370,,,,,,,,,,,,
2021-05-28 00:00:00 UTC+0000,,,,,,,,,,,,,,,229439,,,755314,1689814,4243336,3932985,5107653,2137041,622394,,,,,,,,,,,,
2021-05-29 00:00:00 UTC+0000,,,,,,,,,,,,,,,229045,,,754121,1689720,4242696,3926133,5110365,2144213,622394,,,,,,,,,,,,
2021-05-30 00:00:00 UTC+0000,,,,,,,,,,,,,,,228226,,,754437,1689689,4240589,3934860,5116301,2109086,646394,,,,,,,,,,,,
2021-05-31 00:00:00 UTC+0000,,,,,,,,,,,,,,,227865,,,754625,1689744,4239555,3939130,5124775,2098358,646394,,,,,,,,,,,,
2021-06-01 00:00:00 UTC+0000,,,,,,,,,,,,,,,226752,,,754727,1690619,4242932,3943215,5134675,2042025,686394,,,,,,,,,,,,
2021-06-02 00:00:00 UTC+0000,,,,,,,,,,,,,,,226239,,,753853,1690165,4243261,3945974,5133372,2041261,688277,,,,,,,,,,,,
2021-06-03 00:00:00 UTC+0000,,,,,,,,,,,,,,,225954,,,751234,1689003,4241243,3941101,5131868,2054634,688277,,,,,,,,,,,,
2021-06-04 00:00:00 UTC+0000,,,,,,,,,,,,,,,226136,,,748459,1688250,4239749,3949647,5131981,2051583,688277,,,,,,,,,,,,
2021-06-05 00:00:00 UTC+0000,,,,,,,,,,,,,,,226266,,,744672,1687755,4238968,3948960,5127928,2062107,688277,,,,,,,,,,,,
2021-06-06 00:00:00 UTC+0000,,,,,,,,,,,,,,,226436,,,739453,1685809,4235019,3936050,5159718,2055134,688277,,,,,,,,,,,,
2021-06-07 00:00:00 UTC+0000,,,,,,,,,,,,,,,226617,,,737569,1680596,4232734,3934636,5155665,2070619,688277,,,,,,,,,,,,
2021-06-08 00:00:00 UTC+0000,,,,,,,,,,,,,,,227080,,,738387,1679830,4235875,3938114,5161473,2058616,688277,,,,,,,,,,,,
2021-06-09 00:00:00 UTC+0000,,,,,,,,,,,,,,,227769,,,739574,1680474,4239879,3944124,5161921,2042706,691983,,,,,,,,,,,,
2021-06-10 00:00:00 UTC+0000,,,,,,,,,,,,,,,228090,,,739602,1680605,4240128,3946139,5149153,2053481,691983,,,,,,,,,,,,
2021-06-11 00:00:00 UTC+0000,,,,,,,,,,,,,,,228465,,,739922,1681247,4240851,3944698,5138617,2064067,691983,,,,,,,,,,,,
2021-06-12 00:00:00 UTC+0000,,,,,,,,,,,,,,,226941,,,734170,1680021,4249061,3943895,5137253,2067327,691983,,,,,,,,,,,,
2021-06-13 00:00:00 UTC+0000,,,,,,,,,,,,,,,226787,,,734395,1681213,4251897,3945762,5133129,2066290,691983,,,,,,,,,,,,
2021-06-14 00:00:00 UTC+0000,,,,,,,,,,,,,,,227005,,,735089,1674783,4250162,3949676,5138544,2065059,691983,,,,,,,,,,,,
2021-06-15 00:00:00 UTC+0000,,,,,,,,,,,,,,,227203,,,735023,1659929,4239917,3937159,5180154,2063290,690483,,,,,,,,,,,,
2021-06-16 00:00:00 UTC+0000,,,,,,,,,,,,,,,227533,,,735392,1661152,4237630,3938543,5175082,2068081,690483,,,,,,,,,,,,
2021-06-17 00:00:00 UTC+0000,,,,,,,,,,,,,,,227812,,,736152,1660686,4236599,3940758,5173630,2068611,690483,,,,,,,,,,,,
2021-06-18 00:00:00 UTC+0000,,,,,,,,,,,,,,,228108,,,736612,1660113,4235142,3947574,5166427,2071060,690483,,,,,,,,,,,,
2021-06-19 00:00:00 UTC+0000,,,,,,,,,,,,,,,228324,,,737128,1661597,4238011,3939074,5169872,2071662,690483,,,,,,,,,,,,
2021-06-20 00:00:00 UTC+0000,,,,,,,,,,,,,,,228446,,,736587,1661975,4237045,3938694,5166979,2076597,690483,,,,,,,,,,,,
2021-06-21 00:00:00 UTC+0000,,,,,,,,,,,,,,,228843,,,737828,1661535,4240000,3945104,5158186,2079490,686483,,,,,,,,,,,,
2021-06-22 00:00:00 UTC+0000,,,,,,,,,,,,,,,229524,,,738899,1662325,4241786,3947062,5142363,2088553,687545,,,,,,,,,,,,
2021-06-23 00:00:00 UTC+0000,,,,,,,,,,,,,,,229882,,,738671,1661351,4238747,3941019,5145406,2096047,687545,,,,,,,,,,,,
2021-06-24 00:00:00 UTC+0000,,,,,,,,,,,,,,,229934,,,738904,1660386,4240010,3937971,5149538,2095981,686589,,,,,,,,,,,,
2021-06-25 00:00:00 UTC+0000,,,,,,,,,,,,,,,229561,,,738490,1661070,4241939,3943997,5143326,2092529,689089,,,,,,,,,,,,
2021-06-26 00:00:00 UTC+0000,,,,,,,,,,,,,,,229689,,,739039,1662321,4244150,3930763,5155409,2090104,689089,,,,,,,,,,,,
2021-06-27 00:00:00 UTC+0000,,,,,,,,,,,,,,,230085,,,739422,1663717,4244560,3938474,5133112,2106542,685089,,,,,,,,,,,,
2021-06-28 00:00:00 UTC+0000,,,,,,,,,,,,,,,231027,,,741222,1666037,4245557,3936103,5129728,2106695,685089,,,,,,,,,,,,
2021-06-29 00:00:00 UTC+0000,,,,,,,,,,,,,,,231431,,,741931,1666148,4245783,3931638,5131712,2107914,685493,,,,,,,,,,,,
2021-06-30 00:00:00 UTC+0000,,,,,,,,,,,,,,,232091,,,742513,1665820,4249268,3938694,5119268,2109485,685493,,,,,,,,,,,,
2021-07-01 00:00:00 UTC+0000,,,,,,,,,,,,,,,232747,,,743055,1666414,4244836,3933649,5131697,2107272,683493,,,,,,,,,,,,
2021-07-02 00:00:00 UTC+0000,,,,,,,,,,,,,,,233290,,,743604,1667662,4247515,3930685,5145886,2091653,683493,,,,,,,,,,,,
2021-07-03 00:00:00 UTC+0000,,,,,,,,,,,,,,,232685,,,742156,1668360,4248039,3929762,5191230,2048760,683502,,,,,,,,,,,,
2021-07-04 00:00:00 UTC+0000,,,,,,,,,,,,,,,231443,,,740984,1668486,4247968,3932194,5189077,2051623,683502,,,,,,,,,,,,
2021-07-05 00:00:00 UTC+0000,,,,,,,,,,,,,,,231026,,,740510,1667947,4246616,3934197,5190423,2051842,683502,,,,,,,,,,,,
2021-07-06 00:00:00 UTC+0000,,,,,,,,,,,,,,,230552,,,740921,1667965,4246592,3940520,5183271,2053647,683502,,,,,,,,,,,,
2021-07-07 00:00:00 UTC+0000,,,,,,,,,,,,,,,230586,,,741172,1669034,4248326,3942411,5188574,2046139,681502,,,,,,,,,,,,
2021-07-08 00:00:00 UTC+0000,,,,,,,,,,,,,,,230953,,,741712,1669939,4247894,3947515,5183834,2045221,681502,,,,,,,,,,,,
2021-07-09 00:00:00 UTC+0000,,,,,,,,,,,,,,,231073,,,741830,1671084,4249272,3943481,5186266,2044874,681502,,,,,,,,,,,,
2021-07-10 00:00:00 UTC+0000,,,,,,,,,,,,,,,230464,,,741705,1671940,4247468,3949930,5179916,2047141,681888,,,,,,,,,,,,
2021-07-11 00:00:00 UTC+0000,,,,,,,,,,,,,,,230030,,,741821,1672494,4248740,3947694,5181633,2046921,681888,,,,,,,,,,,,
2021-07-12 00:00:00 UTC+0000,,,,,,,,,,,,,,,229881,,,741711,1673947,4255774,3939748,5175472,2055579,679888,,,,,,,,,,,,
2021-07-13 00:00:00 UTC+0000,,,,,,,,,,,,,,,230076,,,742165,1673628,4255788,3942034,5173511,2055711,679888,,,,,,,,,,,,
2021-07-14 00:00:00 UTC+0000,,,,,,,,,,,,,,,230115,,,742619,1674534,4254329,3941239,5176219,2054768,680010,,,,,,,,,,,,
2021-07-15 00:00:00 UTC+0000,,,,,,,,,,,,,,,230202,,,742610,1674133,4256831,3940226,5183580,2133357,593757,,,,,,,,,,,,
2021-07-16 00:00:00 UTC+0000,,,,,,,,,,,,,,,230287,,,742880,1674605,4254089,3946209,5167449,2146301,593795,,,,,,,,,,,,
2021-07-17 00:00:00 UTC+0000,,,,,,,,,,,,,,,230524,,,743298,1674227,4258044,3938348,5210085,2108086,593902,,,,,,,,,,,,
2021-07-18 00:00:00 UTC+0000,,,,,,,,,,,,,,,230489,,,743325,1674464,4258174,3935396,5215943,2105764,593902,,,,,,,,,,,,
2021-07-19 00:00:00 UTC+0000,,,,,,,,,,,,,,,230290,,,743382,1674339,4259313,3930168,5219761,2107259,593902,,,,,,,,,,,,
2021-07-20 00:00:00 UTC+0000,,,,,,,,,,,,,,,230447,,,743828,1674983,4260330,3926143,5221171,2108473,593902,,,,,,,,,,,,
2021-07-21 00:00:00 UTC+0000,,,,,,,,,,,,,,,230621,,,744087,1674740,4259596,3934957,5199843,2122274,594058,,,,,,,,,,,,
2021-07-22 00:00:00 UTC+0000,,,,,,,,,,,,,,,230763,,,744164,1674455,4260205,3930687,5199653,2126880,594280,,,,,,,,,,,,
2021-07-23 00:00:00 UTC+0000,,,,,,,,,,,,,,,230700,,,744148,1675427,4259720,3927246,5213856,2116606,594280,,,,,,,,,,,,
2021-07-24 00:00:00 UTC+0000,,,,,,,,,,,,,,,230937,,,744403,1676359,4262317,3930527,5209297,2114762,594280,,,,,,,,,,,,
2021-07-25 00:00:00 UTC+0000,,,,,,,,,,,,,,,230850,,,744345,1677261,4258573,3926308,5220853,2111352,594280,,,,,,,,,,,,
2021-07-26 00:00:00 UTC+0000,,,,,,,,,,,,,,,230634,,,744867,1677626,4258925,3927344,5227302,2115162,582979,,,,,,,,,,,,
2021-07-27 00:00:00 UTC+0000,,,,,,,,,,,,,,,230750,,,744965,1677679,4256542,3927860,5250792,2095760,581479,,,,,,,,,,,,
2021-07-28 00:00:00 UTC+0000,,,,,,,,,,,,,,,230361,,,744001,1679567,4255496,3931037,5260997,2085396,579979,,,,,,,,,,,,
2021-07-29 00:00:00 UTC+0000,,,,,,,,,,,,,,,230632,,,744566,1677454,4260043,3919238,5308625,2047314,579979,,,,,,,,,,,,
2021-07-30 00:00:00 UTC+0000,,,,,,,,,,,,,,,230819,,,744831,1677897,4260256,3915974,5306750,2052383,579979,,,,,,,,,,,,
2021-07-31 00:00:00 UTC+0000,,,,,,,,,,,,,,,230982,,,745285,1679693,4263520,3915972,5305799,2048621,579979,,,,,,,,,,,,
2021-08-01 00:00:00 UTC+0000,,,,,,,,,,,,,,,231378,,,746244,1680967,4263135,3919270,5302437,2047465,579979,,,,,,,,,,,,
2021-08-02 00:00:00 UTC+0000,,,,,,,,,,,,,,,231291,,,747174,1679941,4259957,3919605,5304780,2049036,579979,,,,,,,,,,,,
2021-08-03 00:00:00 UTC+0000,,,,,,,,,,,,,,,231476,,,747834,1681416,4259258,3915989,5300350,2056451,579979,,,,,,,,,,,,
2021-08-04 00:00:00 UTC+0000,,,,,,,,,,,,,,,231443,,,747758,1680771,4258654,3919250,5302186,2053585,579979,,,,,,,,,,,,
2021-08-05 00:00:00 UTC+0000,,,,,,,,,,,,,,,231453,,,748192,1681956,4260404,3920832,5299072,2052751,579979,,,,,,,,,,,,
2021-08-06 00:00:00 UTC+0000,,,,,,,,,,,,,,,231552,,,748190,1681455,4261958,3927472,5290923,2054102,579979,,,,,,,,,,,,
2021-08-07 00:00:00 UTC+0000,,,,,,,,,,,,,,,231590,,,748467,1681621,4264599,3925857,5303407,2044126,576979,,,,,,,,,,,,
2021-08-08 00:00:00 UTC+0000,,,,,,,,,,,,,,,231413,,,748879,1682254,4264200,3926410,5299992,2047544,576979,,,,,,,,,,,,
2021-08-09 00:00:00 UTC+0000,,,,,,,,,,,,,,,231258,,,749054,1683066,4262712,3921622,5295375,2058516,576979,,,,,,,,,,,,
2021-08-10 00:00:00 UTC+0000,,,,,,,,,,,,,,,231192,,,749143,1682186,4260887,3927115,5305258,2046885,576979,,,,,,,,,,,,
2021-08-11 00:00:00 UTC+0000,,,,,,,,,,,,,,,231478,,,750081,1682905,4262088,3920974,5276371,2079695,576979,,,,,,,,,,,,
2021-08-12 00:00:00 UTC+0000,,,,,,,,,,,,,,,231459,,,750512,1683103,4262237,3921426,5272574,2083199,576979,,,,,,,,,,,,
2021-08-13 00:00:00 UTC+0000,,,,,,,,,,,,,,,231509,,,750660,1683879,4261389,3924176,5259240,2094544,576979,,,,,,,,,,,,
2021-08-14 00:00:00 UTC+0000,,,,,,,,,,,,,,,231764,,,750759,1684802,4258716,3917275,5266204,2096928,576979,,,,,,,,,,,,
2021-08-15 00:00:00 UTC+0000,,,,,,,,,,,,,,,231683,,,750939,1685473,4261298,3915333,5274568,2088229,576979,,,,,,,,,,,,
2021-08-16 00:00:00 UTC+0000,,,,,,,,,,,,,,,231255,,,751421,1687410,4260356,3921405,5259981,2096740,576979,,,,,,,,,,,,
2021-08-17 00:00:00 UTC+0000,,,,,,,,,,,,,,,231298,,,751633,1687544,4262363,3924305,5255055,2097437,576979,,,,,,,,,,,,
2021-08-18 00:00:00 UTC+0000,,,,,,,,,,,,,,,231442,,,751897,1688043,4261301,3927202,5254277,2096330,576979,,,,,,,,,,,,
2021-08-19 00:00:00 UTC+0000,,,,,,,,,,,,,,,231375,,,752446,1688397,4259924,3934253,5249042,2095998,576979,,,,,,,,,,,,
2021-08-20 00:00:00 UTC+0000,,,,,,,,,,,,,,,231351,,,752559,1689334,4261730,3926210,5254259,2098523,575479,,,,,,,,,,,,
2021-08-21 00:00:00 UTC+0000,,,,,,,,,,,,,,,231267,,,752651,1689565,4259194,3924969,5245600,2111775,575479,,,,,,,,,,,,
2021-08-22 00:00:00 UTC+0000,,,,,,,,,,,,,,,231163,,,752845,1690835,4258860,3927572,5240459,2114282,575479,,,,,,,,,,,,
2021-08-23 00:00:00 UTC+0000,,,,,,,,,,,,,,,231067,,,753057,1690129,4259765,3933569,5237491,2112137,575479,,,,,,,,,,,,
2021-08-24 00:00:00 UTC+0000,,,,,,,,,,,,,,,231180,,,753359,1689728,4261782,3933514,5226228,2122438,575479,,,,,,,,,,,,
2021-08-25 00:00:00 UTC+0000,,,,,,,,,,,,,,,231398,,,753876,1692766,4260119,3932726,5237709,2110642,575479,,,,,,,,,,,,
2021-08-26 00:00:00 UTC+0000,,,,,,,,,,,,,,,231698,,,754448,1692784,4259845,3929673,5246074,2105569,575517,,,,,,,,,,,,
2021-08-27 00:00:00 UTC+0000,,,,,,,,,,,,,,,232032,,,755143,1693661,4260336,3930402,5246664,2102298,575983,,,,,,,,,,,,
2021-08-28 00:00:00 UTC+0000,,,,,,,,,,,,,,,232052,,,755364,1693704,4260820,3927660,5259184,2092590,576071,,,,,,,,,,,,
2021-08-29 00:00:00 UTC+0000,,,,,,,,,,,,,,,232116,,,755535,1693806,4263292,3927246,5270358,2079996,576071,,,,,,,,,,,,
2021-08-30 00:00:00 UTC+0000,,,,,,,,,,,,,,,232212,,,755917,1691583,4265604,3928782,5273155,2075952,576071,,,,,,,,,,,,
2021-08-31 00:00:00 UTC+0000,,,,,,,,,,,,,,,232398,,,754817,1691994,4264768,3929759,5272145,2078193,576071,,,,,,,,,,,,
2021-09-01 00:00:00 UTC+0000,,,,,,,,,,,,,,,232364,,,754771,1692198,4262947,3928180,5263725,2090727,576071,,,,,,,,,,,,
2021-09-02 00:00:00 UTC+0000,,,,,,,,,,,,,,,232081,,,753813,1690947,4257177,3927900,5265433,2098529,576071,,,,,,,,,,,,
2021-09-03 00:00:00 UTC+0000,,,,,,,,,,,,,,,231876,,,754265,1691192,4255021,3922278,5273910,2099745,574571,,,,,,,,,,,,
2021-09-04 00:00:00 UTC+0000,,,,,,,,,,,,,,,231891,,,754262,1690513,4254347,3919788,5277678,2100769,574571,,,,,,,,,,,,
2021-09-05 00:00:00 UTC+0000,,,,,,,,,,,,,,,231891,,,754423,1690752,4252010,3920135,5280193,2100851,574571,,,,,,,,,,,,
2021-09-06 00:00:00 UTC+0000,,,,,,,,,,,,,,,231690,,,754655,1690377,4253081,3918593,5273818,2109111,574571,,,,,,,,,,,,
2021-09-07 00:00:00 UTC+0000,,,,,,,,,,,,,,,232107,,,755282,1691825,4253954,3922635,5270602,2105900,574571,,,,,,,,,,,,
2021-09-08 00:00:00 UTC+0000,,,,,,,,,,,,,,,232209,,,755484,1691363,4254586,3916375,5259254,2123445,575061,,,,,,,,,,,,
2021-09-09 00:00:00 UTC+0000,,,,,,,,,,,,,,,232519,,,755786,1692473,4255417,3908923,5223492,2163516,576526,,,,,,,,,,,,
2021-09-10 00:00:00 UTC+0000,,,,,,,,,,,,,,,232476,,,755740,1693200,4247679,3906042,5216458,2181114,576811,,,,,,,,,,,,
2021-09-11 00:00:00 UTC+0000,,,,,,,,,,,,,,,232350,,,755942,1693291,4249038,3905354,5218377,2179027,577029,,,,,,,,,,,,
2021-09-12 00:00:00 UTC+0000,,,,,,,,,,,,,,,232517,,,756141,1693484,4249527,3902631,5220470,2179538,577029,,,,,,,,,,,,
2021-09-13 00:00:00 UTC+0000,,,,,,,,,,,,,,,232670,,,756786,1694295,4249485,3906377,5223794,2171816,577029,,,,,,,,,,,,
2021-09-14 00:00:00 UTC+0000,,,,,,,,,,,,,,,232740,,,757215,1694315,4252075,3929654,5232540,2137201,577611,,,,,,,,,,,,
2021-09-15 00:00:00 UTC+0000,,,,,,,,,,,,,,,232862,,,757530,1694420,4248639,3932928,5248911,2121332,577611,,,,,,,,,,,,
2021-09-16 00:00:00 UTC+0000,,,,,,,,,,,,,,,232066,,,757298,1693381,4251065,3934867,5257302,2111493,577611,,,,,,,,,,,,
2021-09-17 00:00:00 UTC+0000,,,,,,,,,,,,,,,231916,,,756992,1693240,4249188,3937866,5259104,2110104,577611,,,,,,,,,,,,
2021-09-18 00:00:00 UTC+0000,,,,,,,,,,,,,,,232119,,,757282,1694404,4251133,3932286,5260425,2111691,577611,,,,,,,,,,,,
2021-09-19 00:00:00 UTC+0000,,,,,,,,,,,,,,,232220,,,757447,1694491,4251984,3930198,5260577,2113517,577611,,,,,,,,,,,,
2021-09-20 00:00:00 UTC+0000,,,,,,,,,,,,,,,232213,,,758331,1695240,4251001,3931178,5261659,2111775,577611,,,,,,,,,,,,
2021-09-21 00:00:00 UTC+0000,,,,,,,,,,,,,,,232308,,,758522,1696308,4253994,3924357,5266795,2109919,577611,,,,,,,,,,,,
2021-09-22 00:00:00 UTC+0000,,,,,,,,,,,,,,,232410,,,758635,1695274,4253378,3930039,5262053,2110893,577932,,,,,,,,,,,,
2021-09-23 00:00:00 UTC+0000,,,,,,,,,,,,,,,232476,,,758856,1695841,4253698,3926611,5263852,2111952,578340,,,,,,,,,,,,
2021-09-24 00:00:00 UTC+0000,,,,,,,,,,,,,,,232324,,,759134,1695648,4251473,3925375,5273413,2106630,578548,,,,,,,,,,,,
2021-09-25 00:00:00 UTC+0000,,,,,,,,,,,,,,,232671,,,759312,1696217,4252924,3923863,5272643,2107052,578838,,,,,,,,,,,,
2021-09-26 00:00:00 UTC+0000,,,,,,,,,,,,,,,232888,,,759777,1697211,4255284,3937611,5336076,2026680,578838,,,,,,,,,,,,
2021-09-27 00:00:00 UTC+0000,,,,,,,,,,,,,,,232911,,,760509,1698559,4257452,3937735,5325807,2033466,578838,,,,,,,,,,,,
2021-09-28 00:00:00 UTC+0000,,,,,,,,,,,,,,,232985,,,760860,1699678,4258336,3938644,5324850,2032086,578838,,,,,,,,,,,,
2021-09-29 00:00:00 UTC+0000,,,,,,,,,,,,,,,233093,,,761400,1700863,4262206,3941283,5314090,2035339,578866,,,,,,,,,,,,
2021-09-30 00:00:00 UTC+0000,,,,,,,,,,,,,,,232366,,,760616,1700257,4261809,3943716,5321738,2028691,578902,,,,,,,,,,,,
2021-10-01 00:00:00 UTC+0000,,,,,,,,,,,,,,,232694,,,760940,1700332,4263525,3948192,5318250,2026216,578902,,,,,,,,,,,,
2021-10-02 00:00:00 UTC+0000,,,,,,,,,,,,,,,232407,,,760796,1700889,4262799,3951242,5314903,2028289,578902,,,,,,,,,,,,
2021-10-03 00:00:00 UTC+0000,,,,,,,,,,,,,,,232664,,,761059,1701719,4264305,3956560,5308744,2027211,578902,,,,,,,,,,,,
2021-10-04 00:00:00 UTC+0000,,,,,,,,,,,,,,,232623,,,761730,1702476,4265433,3955697,5305498,2029725,578902,,,,,,,,,,,,
2021-10-05 00:00:00 UTC+0000,,,,,,,,,,,,,,,232478,,,761663,1702513,4262762,3967824,5301568,2028392,575902,,,,,,,,,,,,
2021-10-06 00:00:00 UTC+0000,,,,,,,,,,,,,,,232620,,,762029,1703102,4263684,4006174,5269166,2021313,575902,,,,,,,,,,,,
2021-10-07 00:00:00 UTC+0000,,,,,,,,,,,,,,,232534,,,761320,1702546,4263471,4006518,5270185,2022371,575902,,,,,,,,,,,,
2021-10-08 00:00:00 UTC+0000,,,,,,,,,,,,,,,232406,,,761102,1702224,4262822,4012074,5264964,2025638,574402,,,,,,,,,,,,
2021-10-09 00:00:00 UTC+0000,,,,,,,,,,,,,,,232060,,,761198,1702852,4264084,4011265,5265754,2026405,572902,,,,,,,,,,,,
2021-10-10 00:00:00 UTC+0000,,,,,,,,,,,,,,,232081,,,761323,1703716,4263846,4003900,5273222,2026537,572902,,,,,,,,,,,,
2021-10-11 00:00:00 UTC+0000,,,,,,,,,,,,,,,231827,,,760204,1703471,4264503,4002759,5283963,2018786,572902,,,,,,,,,,,,
2021-10-12 00:00:00 UTC+0000,,,,,,,,,,,,,,,231873,,,760519,1704609,4264705,3999248,5286234,2019211,572902,,,,,,,,,,,,
2021-10-13 00:00:00 UTC+0000,,,,,,,,,,,,,,,231961,,,760289,1704345,4264580,4001745,5303186,2002788,571402,,,,,,,,,,,,
2021-10-14 00:00:00 UTC+0000,,,,,,,,,,,,,,,231897,,,760375,1704465,4266453,4009433,5298461,1998164,571896,,,,,,,,,,,,
2021-10-15 00:00:00 UTC+0000,,,,,,,,,,,,,,,232041,,,760353,1704392,4267209,4012742,5289391,2004059,571896,,,,,,,,,,,,
2021-10-16 00:00:00 UTC+0000,,,,,,,,,,,,,,,231905,,,759742,1704202,4265938,4008521,5291439,2009258,571896,,,,,,,,,,,,
2021-10-17 00:00:00 UTC+0000,,,,,,,,,,,,,,,231856,,,760122,1704291,4266720,4004537,5297648,2006826,571896,,,,,,,,,,,,
2021-10-18 00:00:00 UTC+0000,,,,,,,,,,,,,,,231922,,,758340,1702226,4266577,3997162,5303256,2013421,571896,,,,,,,,,,,,
2021-10-19 00:00:00 UTC+0000,,,,,,,,,,,,,,,231794,,,758189,1702205,4266485,3993372,5331799,1989992,571896,,,,,,,,,,,,
2021-10-20 00:00:00 UTC+0000,,,,,,,,,,,,,,,232021,,,758151,1701929,4269385,3981669,5332566,1999110,571896,,,,,,,,,,,,
2021-10-21 00:00:00 UTC+0000,,,,,,,,,,,,,,,231654,,,757726,1699543,4266268,3980765,5329977,2009829,571896,,,,,,,,,,,,
2021-10-22 00:00:00 UTC+0000,,,,,,,,,,,,,,,231672,,,757925,1699925,4265333,3987915,5317838,2016131,571896,,,,,,,,,,,,
2021-10-23 00:00:00 UTC+0000,,,,,,,,,,,,,,,231803,,,757846,1700513,4266656,3985755,5315007,2020095,571896,,,,,,,,,,,,
2021-10-24 00:00:00 UTC+0000,,,,,,,,,,,,,,,231994,,,757904,1697512,4261441,3992164,5325511,2012060,571896,,,,,,,,,,,,
2021-10-25 00:00:00 UTC+0000,,,,,,,,,,,,,,,231844,,,758087,1688684,4258165,4007225,5329996,2005729,571896,,,,,,,,,,,,
2021-10-26 00:00:00 UTC+0000,,,,,,,,,,,,,,,231962,,,758360,1682731,4260541,4011162,5317718,2017623,572492,,,,,,,,,,,,
2021-10-27 00:00:00 UTC+0000,,,,,,,,,,,,,,,232148,,,758508,1683148,4266508,4009150,5293770,2037685,572597,,,,,,,,,,,,
2021-10-28 00:00:00 UTC+0000,,,,,,,,,,,,,,,232222,,,758665,1684126,4273286,3999213,5294944,2038286,573758,,,,,,,,,,,,
2021-10-29 00:00:00 UTC+0000,,,,,,,,,,,,,,,232420,,,758926,1683912,4273400,3997869,5277878,2057128,574031,,,,,,,,,,,,
2021-10-30 00:00:00 UTC+0000,,,,,,,,,,,,,,,232735,,,759277,1683647,4270129,3993216,5293864,2049633,574031,,,,,,,,,,,,
2021-10-31 00:00:00 UTC+0000,,,,,,,,,,,,,,,232533,,,759279,1683714,4269658,3993008,5292258,2052971,574031,,,,,,,,,,,,
2021-11-01 00:00:00 UTC+0000,,,,,,,,,,,,,,,232803,,,759864,1684950,4272167,4007216,5270384,2056907,574031,,,,,,,,,,,,
2021-11-02 00:00:00 UTC+0000,,,,,,,,,,,,,,,232955,,,760225,1684770,4272210,4010209,5280318,2044375,574215,,,,,,,,,,,,
2021-11-03 00:00:00 UTC+0000,,,,,,,,,,,,,,,232904,,,760584,1685061,4272475,4004287,5267688,2063119,574215,,,,,,,,,,,,
2021-11-04 00:00:00 UTC+0000,,,,,,,,,,,,,,,232999,,,760645,1685780,4274333,4001235,5257889,2074117,574215,,,,,,,,,,,,
