Date_Time_UTC,0.00001,0.0001,0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000,0.00001_BTC_total,0.0001_BTC_total,0.001_BTC_total,0.01_BTC_total,0.1_BTC_total,1_BTC_total,10_BTC_total,100_BTC_total,1000_BTC_total,10000_BTC_total,100000_BTC_total,1000000_BTC_total,USD_0.00001_BTC,USD_0.0001_BTC,USD_0.001_BTC,USD_0.01_BTC,USD_0.1_BTC,USD_1_BTC,USD_10_BTC,USD_100_BTC,USD_1000_BTC,USD_10000_BTC,USD_100000_BTC,USD_1000000_BTC
2025-10-27 12:01:03 UTC+0000,7095854,12068769,13686390,11675644,7986729,3465579,828282,132675,17722,1962,83,4,41.62,510.12,5143,43190,269643,1066534,2054875,4304674,5148693,4234701,2170387,639536,4803769,58876462,593549581,4984836762,31121528413,123096707948,237168598726,496834773715,594249306621,488758609785,250500638283,73813630647
2025-10-28 00:01:02 UTC+0000,7097516,12063142,13673268,11671737,7987784,3465387,828207,132659,17738,1954,83,4,41.63,509.94,5137,43182,269677,1066445,2054657,4305346,5158796,4222369,2172478,639536,4751644,58199331,586312906,4928410700,30778223280,121713378798,234497950322,491369136387,588773338236,481899001898,247944877825,72990223452
2025-10-28 12:01:04 UTC+0000,7098685,12064639,13675180,11674602,7988852,3465457,828095,132726,17733,1959,83,4,41.64,510.03,5137,43194,269729,1066434,2054158,4306566,5157792,4224616,2170695,639536,4769219,58413637,588362683,4947045079,30892009653,122138483452,235262242726,493230106877,590720907571,483844376055,248609230670,73245907483
2025-10-29 00:01:03 UTC+0000,7100440,12067122,13668172,11671933,7988827,3465482,828187,132655,17745,1957,83,4,41.66,510.14,5132,43187,269738,1066409,2054758,4305231,5165825,4215311,2172974,639536,4705661,57629309,579694999,4878681099,30471501061,120468898274,232119664726,486348608192,583567131038,476190573604,245474061530,72246372778
2025-10-29 12:01:03 UTC+0000,7102207,12068814,13667186,11673902,7990390,3465703,828097,132667,17727,1962,83,4,41.67,510.21,5130,43194,269793,1066469,2054161,4305390,5160856,4220093,2173703,639536,4711573,57692160,580076022,4884156009,30506700542,120590355101,232273120579,486829499357,583560923237,477184607682,245790259796,72315151242
2025-10-30 00:01:02 UTC+0000,7103680,12070731,13668049,11681031,7993158,3465677,828062,132670,17734,1964,83,4,41.68,510.32,5130,43218,269870,1066427,2054108,4305746,5162421,4220190,2171876,639536,4587306,56170553,564654438,4756939463,29704204340,117380100056,226092672377,473927170351,568220214495,464510197200,239055204942,70392778265
2025-10-30 12:01:03 UTC+0000,7105899,12071105,13673630,11687681,7994440,3465631,828199,132600,17726,1964,83,4,41.69,510.36,5133,43236,269899,1066396,2054321,4303857,5161919,4219073,2175382,639536,4584627,56119106,564464389,4754268426,29678229593,117261344162,225894001621,473253915185,567606742575,463931021545,239205943480,70323623599
2025-10-31 00:01:03 UTC+0000,7107078,12071829,13676593,11687349,7996007,3465844,828117,132564,17733,1960,83,4,41.70,510.45,5134,43239,269940,1066398,2054188,4299504,5168087,4213436,2179545,639536,4501704,55104743,554197894,4667802465,29140695715,115120298738,221754658236,464142104832,557907843447,454850816546,235287287148,69039478395
2025-10-31 12:01:02 UTC+0000,7109432,12075034,13691681,11701316,7999352,3466390,828157,132526,17730,1961,83,4,41.72,510.63,5140,43291,270046,1066503,2054026,4298508,5167920,4215931,2178317,639536,4573371,55975598,563417059,4745600673,29602536061,116910454376,225163161774,471204148019,566509429999,462151983140,238788005960,70106165923
2025-11-01 00:01:03 UTC+0000,7110474,12075128,13695213,11704226,7997786,3466524,828072,132526,17708,1966,83,4,41.73,510.63,5142,43296,270003,1066632,2054093,4299365,5159064,4220057,2182250,639536,4574400,55979444,563717515,4746461935,29599660618,116931863081,225184515387,471327470970,565573972620,462633165972,239233999604,70110543716
2025-11-01 12:01:03 UTC+0000,7111954,12076123,13696714,11706807,7998851,3466307,828070,132590,17697,1967,83,4,41.74,510.66,5144,43301,270000,1066637,2054113,4299812,5155620,4221012,2184485,639536,4594614,56215422,566218581,4766717260,29722626671,117419505823,226124667103,473339857606,567550427315,464665158470,240476443389,70402557054
2025-11-02 00:01:03 UTC+0000,7113626,12078328,13706152,11709396,7994827,3466215,828093,132534,17696,1969,83,4,41.75,510.77,5148,43303,269891,1066626,2054273,4299899,5155630,4219483,2177739,647893,4593820,56201812,566429195,4764716104,29696931567,117364179251,226038086655,473131233318,567290082641,464282860889,239623379599,71289674031
2025-11-02 13:01:03 UTC+0000,7115608,12079073,13712811,11709765,7994937,3466337,828130,132520,17696,1968,83,4,41.76,510.87,5150,43303,269897,1066701,2054238,4299765,5156497,4218730,2177997,647893,4629823,56632592,570918589,4800416620,29919486521,118249438352,227723064810,476651543613,571624818169,467668418982,241442373625,71822332835
